ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf8_Fuzzing,ssf10_Maintained
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
0.7000000000000001,0.7000000000000001,0.5,1.0,1.0
1.0,0.8,1.0,0.0,0.4
0.6000000000000001,0.8,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.6000000000000001,0.0,0.0,0.0
1.0,0.2,0.0,1.0,1.0
1.0,0.3,0.0,0.0,0.5
1.0,0.3,0.0,1.0,1.0
1.0,0.11553252355862095,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.11504390070828052,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.0
1.0,0.8,0.0,0.6259112950832704,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.8,0.0,0.0,0.1
1.0,0.682555597409161,0.0,1.0,1.0
1.0,0.7555158356240481,0.0,1.0,1.0
1.0,0.5,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.8,0.0,0.0,0.0
1.0,0.1,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0
1.0,0.1,0.0,0.0,0.0
1.0,0.3,0.0,0.8162944517462223,1.0
1.0,0.5,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.6000000000000001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.3,0.0,1.0,0.6000000000000001
1.0,0.0,0.5,1.0,1.0
1.0,0.3874050481864877,0.0,1.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.9525375876495759
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.6000000000000001,0.5,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.5,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,0.0
1.0,0.3,0.0,1.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.7498617880618814,0.0,0.0,1.0
1.0,0.4,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.7732820934812228
1.0,0.2,0.0,0.0,0.6000000000000001
1.0,0.3,0.0,0.0,0.0
1.0,0.3,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.343361282714656,0.0,1.0,1.0
1.0,0.8,0.0,0.0,0.0
0.3,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.4316916376466553,0.0,0.0,0.0
1.0,0.11731285234648131,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.1
1.0,0.27135335038221386,0.0,0.0,0.0
1.0,0.8,0.0,0.0,1.0
0.9,0.3,0.0,0.0,0.0
1.0,0.8,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,1.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.09803869543551705,0.0,0.0,0.0
1.0,0.7207097014708406,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.7928590166483247,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.27438325869766,0.0,0.0,0.0
1.0,0.7735567941203048,0.0,1.0,1.0
1.0,0.034767982798518546,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0
1.0,0.30963657044271375,0.0,1.0,1.0
1.0,0.39832518153608865,0.0,1.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0.8,0.8,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.1
1.0,0.6630307666239452,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.04177097846622421,0.0,0.0,1.0
1.0,0.29710126141349974,0.0,0.0,0.0
1.0,0.7399183550811776,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
0.8,0.3,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
0.9,0.6000000000000001,0.0,0.0,1.0
0.5,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.7007345975206982,0.0,1.0,1.0
1.0,0.06485451200751384,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.3,0.0,0.3777774626123628,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.4
1.0,0.6000000000000001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.6000000000000001
1.0,0.2120499131059738,0.0,0.0,0.43975043447013107
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.5,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.5,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.5021389598451317,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,0.0
0.0,0.8,0.0,0.0,1.0
0.9,0.8,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.6205116015453154,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.8896541390343999
1.0,0.8,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.03902323030326879
1.0,0.6635770107802914,0.0,0.0,1.0
1.0,0.05315148652690421,0.0,0.0,0.0
1.0,0.8,0.0,1.0,1.0
1.0,0.8,0.0,0.0,0.6000000000000001
1.0,0.4317926884354968,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.7000000000000001
1.0,0.3,0.0,0.0,0.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.8,0.0,0.0,0.4
1.0,0.8,0.0,0.0,0.6000000000000001
1.0,0.3,0.0,0.0,1.0
1.0,0.021854509572914793,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.0
1.0,0.6000000000000001,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.5146992998292778,0.0,1.0,1.0
0.6000000000000001,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.30986765349274625,0.0,0.0,1.0
1.0,0.8,0.0,0.8389210190496836,1.0
0.931474694521952,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.7478571196944289,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.09566423620780659,0.0,0.0,1.0
1.0,0.2,0.0,0.0,0.5
1.0,0.3,0.0,0.0,1.0
0.0,0.2,0.0,0.0,1.0
1.0,0.7722149455825674,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.5882068704251531,0.0,1.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.05306304499936953,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.5,0.2,0.0,1.0
0.7000000000000001,0.0,0.0,0.0,1.0
1.0,0.3,0.2,1.0,1.0
1.0,0.5429422037109144,0.0,0.0,0.0
1.0,0.39470503842635607,0.0,0.0,0.0
1.0,0.7726957001948961,0.0,0.0,1.0
1.0,0.3776455750208403,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.421257384049214,0.0,1.0,1.0
1.0,0.05297396273605871,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.4952236341790923,0.0,0.0,0.0
1.0,0.1,0.0,0.0,1.0
1.0,0.8,0.0,0.0,0.6000000000000001
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
0.9,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.8,0.5,0.0,1.0
1.0,0.0,0.0,0.0,1.0
0.6000000000000001,0.8,0.0,0.0,1.0
1.0,0.047461748520580826,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.2,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.468668933389389,0.0,0.0,0.0
1.0,0.1,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.7874473076670253,0.0,0.0,1.0
1.0,0.3,0.0,1.0,0.4
1.0,0.0,0.0,0.0,0.06403355356753421
0.6000000000000001,0.3,0.0,0.0,0.0
1.0,0.8,0.0,0.0,1.0
1.0,0.0031445634798517863,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.6000000000000001,0.2,0.0,1.0
1.0,0.5468697587716748,0.0,1.0,1.0
1.0,0.3,0.0,0.0,0.8649954562809508
1.0,0.0762562656397957,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.9
1.0,0.2300027135540632,0.0,0.0,0.0
0.6000000000000001,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.04860326737964582,0.0,0.0,0.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.3,0.0,1.0,0.2
0.9,0.8,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
0.8,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.014757460037434132,0.0,0.0,0.0
1.0,0.09226914429149323,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.1
1.0,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.7082365204097529
1.0,0.0,0.0,0.0,1.0
1.0,0.2913288939850482,0.0,0.0,0.9566444699252409
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.4,0.0,0.0,1.0
1.0,0.24524970149443573,0.0,0.0,0.0
1.0,0.6204217244881869,0.0,0.0,1.0
1.0,0.4262004755657994,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,0.0
1.0,0.0925201184143257,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.1,0.0,1.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.9418724891015767
0.9,0.8,0.2,1.0,0.0
1.0,0.775802974181748,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.1,0.0,1.0,1.0
1.0,0.19036284293660655,0.0,0.0,0.03654571902113116
1.0,0.8,0.0,0.0,1.0
0.7000000000000001,0.3,0.0,0.0,1.0
0.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.2,1.0,1.0
0.9,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.323708829836376,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0
1.0,0.8,0.0,0.0,0.1
1.0,0.2,0.0,0.0,1.0
1.0,0.4686938230722655,0.0,0.0,0.0
1.0,0.3,0.0,1.0,1.0
1.0,0.6000000000000001,0.0,1.0,1.0
0.8985161962045901,0.3,0.0,0.0,1.0
1.0,0.25736654849651514,0.0,0.0,0.014211150501161618
1.0,0.17040429801608414,0.0,0.0,0.44080859603216827
1.0,0.7375624535428318,0.0,0.0,1.0
1.0,0.8,0.0,1.0,1.0
1.0,0.5149721906018214,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.21694253867853913,0.0,0.0,0.41528730660730434
1.0,0.3,0.0,1.0,1.0
1.0,0.1,0.0,0.0,0.0
1.0,0.0,0.2,0.0,1.0
1.0,0.4,0.0,0.0,1.0
1.0,0.2917721897271739,0.0,0.0,0.002742603424275361
1.0,0.3,0.0,0.0,0.0
1.0,0.584430802024114,0.0,1.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.8045635098781988
1.0,0.06002219123057251,0.0,0.0,0.0
1.0,0.3,0.0,1.0,0.0
1.0,0.5248982328566476,0.0,0.0,1.0
1.0,0.021214232766450125,0.0,0.0,0.0
1.0,0.49529559432208164,0.0,1.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.1,0.0,1.0,1.0
0.8,0.3,0.0,0.0,1.0
1.0,0.4,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.7865203885520486,0.0,1.0,1.0
1.0,0.6000000000000001,0.0,1.0,0.5
0.8,0.8,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.7917472567950918,0.0,0.0,1.0
0.9,0.8,0.0,0.0,1.0
